# CUSTOM pre-sampled YUV format: name,file,width,height,frames,fps
uvg_beauty,uvg_beauty_3840x2160.yuv,3840,2160,3,120
uvg_bosphorus,uvg_bosphorus_3840x2160.yuv,3840,2160,3,120
uvg_yachtride,uvg_yachtride_3840x2160.yuv,3840,2160,3,120
uvg_riverbank,uvg_riverbank_3840x2160.yuv,3840,2160,3,50
netflix_chimera,netflix_chimera_4096x2160.yuv,4096,2160,3,60
uvg_lips,uvg_lips_3840x2160.yuv,3840,2160,3,120
uvg_shakendry,uvg_shakendry_3840x2160.yuv,3840,2160,3,120
uvg_sunbath,uvg_sunbath_3840x2160.yuv,3840,2160,3,50
uvg_flowerpan,uvg_flowerpan_3840x2160.yuv,3840,2160,3,50
netflix_meridian,netflix_meridian_3840x2160.yuv,3840,2160,3,60
xiph_blue_sky_1080,xiph_blue_sky_1080_1920x1080.yuv,1920,1080,4,30
xiph_pedestrian_area_1080,xiph_pedestrian_area_1080_1920x1080.yuv,1920,1080,4,30
xiph_riverbed_1080,xiph_riverbed_1080_1920x1080.yuv,1920,1080,4,30
xiph_rush_hour_1080,xiph_rush_hour_1080_1920x1080.yuv,1920,1080,4,30
xiph_station2_1080,xiph_station2_1080_1920x1080.yuv,1920,1080,4,30
xiph_red_kayak_1080,xiph_red_kayak_1080_1920x1080.yuv,1920,1080,4,30
xiph_crowd_run_1080,xiph_crowd_run_1080_1920x1080.yuv,1920,1080,4,50
mcl_jcv_src02,videoSRC02_1920x1080_30.yuv,1920,1080,4,30
mcl_jcv_src05,videoSRC05_1920x1080_25.yuv,1920,1080,4,25
mcl_jcv_src09,videoSRC09_1920x1080_25.yuv,1920,1080,4,25
mcl_jcv_src11,videoSRC11_1920x1080_30.yuv,1920,1080,4,30
mcl_jcv_src13,videoSRC13_1920x1080_30.yuv,1920,1080,4,30
mcl_jcv_src19,videoSRC19_1920x1080_30.yuv,1920,1080,4,30
mcl_jcv_src24,videoSRC24_1920x1080_24.yuv,1920,1080,4,24
xiph_sintel_480,xiph_sintel_480_854x480.yuv,854,480,10,24
xiph_flower_garden_4sif,xiph_flower_garden_4sif_640x480.yuv,640,480,10,30
xiph_football_a_4sif,xiph_football_a_4sif_640x480.yuv,640,480,10,30
xiph_galleon_4sif,xiph_galleon_4sif_640x480.yuv,640,480,10,30
xiph_intros_4sif,xiph_intros_4sif_640x480.yuv,640,480,10,30
xiph_vtc1nw_4sif,xiph_vtc1nw_4sif_640x480.yuv,640,480,10,30
xiph_city_4cif,xiph_city_4cif_704x576.yuv,704,576,10,60
xiph_crew_4cif,xiph_crew_4cif_704x576.yuv,704,576,10,60
xiph_harbour_4cif,xiph_harbour_4cif_704x576.yuv,704,576,10,60
xiph_ice_4cif,xiph_ice_4cif_704x576.yuv,704,576,10,60
xiph_akiyo_qcif,xiph_akiyo_qcif_176x144.yuv,176,144,10,30
xiph_coastguard_qcif,xiph_coastguard_qcif_176x144.yuv,176,144,10,30
xiph_container_qcif,xiph_container_qcif_176x144.yuv,176,144,10,30
xiph_foreman_qcif,xiph_foreman_qcif_176x144.yuv,176,144,10,30
xiph_mobile_cif,xiph_mobile_cif_352x288.yuv,352,288,10,30
xiph_soccer_qcif,xiph_soccer_qcif_176x144.yuv,176,144,10,15
xiph_stefan_sif,xiph_stefan_sif_352x240.yuv,352,240,10,30
xiph_tt_sif,xiph_tt_sif_352x240.yuv,352,240,10,30
xiph_garden_sif,xiph_garden_sif_352x240.yuv,352,240,10,30
xiph_ducks_take_off_720,xiph_ducks_take_off_720_1280x720.yuv,1280,720,10,50
xiph_in_to_tree_720,xiph_in_to_tree_720_1280x720.yuv,1280,720,10,50
xiph_parkrun_720,xiph_parkrun_720_1280x720.yuv,1280,720,10,50
xiph_shields_720,xiph_shields_720_1280x720.yuv,1280,720,10,50
xiph_vidyo1_720,xiph_vidyo1_720_1280x720.yuv,1280,720,10,60
xiph_vidyo3_720,xiph_vidyo3_720_1280x720.yuv,1280,720,10,60
xiph_vidyo4_720,xiph_vidyo4_720_1280x720.yuv,1280,720,10,60
